@relation lottoInfo

@attribute round numeric
@attribute num1 numeric
@attribute num2 numeric
@attribute num3 numeric
@attribute num4 numeric
@attribute num5 numeric
@attribute num6 numeric
@attribute bonusNum numeric
@attribute winningDate numeric

@data
945,9,10,15,30,33,37,26,20210109
944,2,13,16,19,32,33,42,20210102
943,1,8,13,36,44,45,39,20201226
942,10,12,18,35,42,43,39,20201219
941,12,14,25,27,39,40,35,20201212
940,3,15,20,22,24,41,11,20201205
939,4,11,28,39,42,45,6,20201128
938,4,8,10,16,31,36,9,20201121
937,2,10,13,22,29,40,26,20201114
936,7,11,13,17,18,29,43,20201107
935,4,10,20,32,38,44,18,20201031
934,1,3,30,33,36,39,12,20201024
933,23,27,29,31,36,45,37,20201017
932,1,6,15,36,37,38,5,20201010
931,14,15,23,25,35,43,32,20201003
930,8,21,25,38,39,44,28,20200926
929,7,9,12,15,19,23,4,20200919
928,3,4,10,20,28,44,30,20200912
927,4,15,22,38,41,43,26,20200905
926,10,16,18,20,25,31,6,20200829
925,13,24,32,34,39,42,4,20200822
924,3,11,34,42,43,44,13,20200815
923,3,17,18,23,36,41,26,20200808
922,2,6,13,17,27,43,36,20200801
921,5,7,12,22,28,41,1,20200725
920,2,3,26,33,34,43,29,20200718
919,9,14,17,18,42,44,35,20200711
918,7,11,12,31,33,38,5,20200704
917,1,3,23,24,27,43,34,20200627
916,6,21,22,32,35,36,17,20200620
915,2,6,11,13,22,37,14,20200613
914,16,19,24,33,42,44,27,20200606
913,6,14,16,21,27,37,40,20200530
912,5,8,18,21,22,38,10,20200523
911,4,5,12,14,32,42,35,20200516
910,1,11,17,27,35,39,31,20200509
909,7,24,29,30,34,35,33,20200502
908,3,16,21,22,23,44,30,20200425
907,21,27,29,38,40,44,37,20200418
906,2,5,14,28,31,32,20,20200411
905,3,4,16,27,38,40,20,20200404
904,2,6,8,26,43,45,11,20200328
903,2,15,16,21,22,28,45,20200321
902,7,19,23,24,36,39,30,20200314
901,5,18,20,23,30,34,21,20200307
900,7,13,16,18,35,38,14,20200229
899,8,19,20,21,33,39,37,20200222
898,18,21,28,35,37,42,17,20200215
897,6,7,12,22,26,36,29,20200208
896,5,12,25,26,38,45,23,20200201
895,16,26,31,38,39,41,23,20200125
894,19,32,37,40,41,43,45,20200118
893,1,15,17,23,25,41,10,20200111
892,4,9,17,18,26,42,36,20200104
891,9,13,28,31,39,41,19,20191228
890,1,4,14,18,29,37,6,20191221
889,3,13,29,38,39,42,26,20191214
888,3,7,12,31,34,38,32,20191207
887,8,14,17,27,36,45,10,20191130
886,19,23,28,37,42,45,2,20191123
885,1,3,24,27,39,45,31,20191116
884,4,14,23,28,37,45,17,20191109
883,9,18,32,33,37,44,22,20191102
882,18,34,39,43,44,45,23,20191026
881,4,18,20,26,27,32,9,20191019
880,7,17,19,23,24,45,38,20191012
879,1,4,10,14,15,35,20,20191005
878,2,6,11,16,25,31,3,20190928
877,5,17,18,22,23,43,12,20190921
876,5,16,21,26,34,42,24,20190914
875,19,22,30,34,39,44,36,20190907
874,1,15,19,23,28,42,32,20190831
873,3,5,12,13,33,39,38,20190824
872,2,4,30,32,33,43,29,20190817
871,2,6,12,26,30,34,38,20190810
870,21,25,30,32,40,42,31,20190803
869,2,6,20,27,37,39,4,20190727
868,12,17,28,41,43,44,25,20190720
867,14,17,19,22,24,40,41,20190713
866,9,15,29,34,37,39,12,20190706
865,3,15,22,32,33,45,2,20190629
864,3,7,10,13,25,36,32,20190622
863,16,21,28,35,39,43,12,20190615
862,10,34,38,40,42,43,32,20190608
861,11,17,19,21,22,25,24,20190601
860,4,8,18,25,27,32,42,20190525
859,8,22,35,38,39,41,24,20190518
858,9,13,32,38,39,43,23,20190511
857,6,10,16,28,34,38,43,20190504
856,10,24,40,41,43,44,17,20190427
855,8,15,17,19,43,44,7,20190420
854,20,25,31,32,36,43,3,20190413
853,2,8,23,26,27,44,13,20190406
852,11,17,28,30,33,35,9,20190330
851,14,18,22,26,31,44,40,20190323
850,16,20,24,28,36,39,5,20190316
849,5,13,17,29,34,39,3,20190309
848,1,2,16,22,38,39,34,20190302
847,12,16,26,28,30,42,22,20190223
846,5,18,30,41,43,45,13,20190216
845,1,16,29,33,40,45,6,20190209
844,7,8,13,15,33,45,18,20190202
843,19,21,30,33,34,42,4,20190126
842,14,26,32,36,39,42,38,20190119
841,5,11,14,30,33,38,24,20190112
840,2,4,11,28,29,43,27,20190105
839,3,9,11,12,13,19,35,20181229
838,9,14,17,33,36,38,20,20181222
837,2,25,28,30,33,45,6,20181215
836,1,9,11,14,26,28,19,20181208
835,9,10,13,28,38,45,35,20181201
834,6,8,18,35,42,43,3,20181124
833,12,18,30,39,41,42,19,20181117
832,13,14,19,26,40,43,30,20181110
831,3,10,16,19,31,39,9,20181103
830,5,6,16,18,37,38,17,20181027
829,4,5,31,35,43,45,29,20181020
828,4,7,13,29,31,39,18,20181013
827,5,11,12,29,33,44,14,20181006
826,13,16,24,25,33,36,42,20180929
825,8,15,21,31,33,38,42,20180922
824,7,9,24,29,34,38,26,20180915
823,12,18,24,26,39,40,15,20180908
822,9,18,20,24,27,36,12,20180901
821,1,12,13,24,29,44,16,20180825
820,10,21,22,30,35,42,6,20180818
819,16,25,33,38,40,45,15,20180811
818,14,15,25,28,29,30,3,20180804
817,3,9,12,13,25,43,34,20180728
816,12,18,19,29,31,39,7,20180721
815,17,21,25,26,27,36,4,20180714
814,2,21,28,38,42,45,30,20180707
813,11,30,34,35,42,44,27,20180630
812,1,3,12,14,16,43,10,20180623
811,8,11,19,21,36,45,25,20180616
810,5,10,13,21,39,43,11,20180609
809,6,11,15,17,23,40,39,20180602
808,15,21,31,32,41,43,24,20180526
807,6,10,18,25,34,35,33,20180519
806,14,20,23,31,37,38,27,20180512
805,3,12,13,18,31,32,42,20180505
804,1,10,13,26,32,36,9,20180428
803,5,9,14,26,30,43,2,20180421
802,10,11,12,18,24,42,27,20180414
801,17,25,28,37,43,44,2,20180407
800,1,4,10,12,28,45,26,20180331
799,12,17,23,34,42,45,33,20180324
798,2,10,14,22,32,36,41,20180317
797,5,22,31,32,39,45,36,20180310
796,1,21,26,36,40,41,5,20180303
795,3,10,13,26,34,38,36,20180224
794,6,7,18,19,30,38,13,20180217
793,10,15,21,35,38,43,31,20180210
792,2,7,19,25,29,36,16,20180203
791,2,10,12,31,33,42,32,20180127
790,3,8,19,27,30,41,12,20180120
789,2,6,7,12,19,45,38,20180113
788,2,10,11,19,35,39,29,20180106
787,5,6,13,16,27,28,9,20171230
786,12,15,16,20,24,30,38,20171223
785,4,6,15,25,26,33,40,20171216
784,3,10,23,24,31,39,22,20171209
783,14,15,16,17,38,45,36,20171202
782,6,18,31,34,38,45,20,20171125
781,11,16,18,19,24,39,43,20171118
780,15,17,19,21,27,45,16,20171111
779,6,12,19,24,34,41,4,20171104
778,6,21,35,36,37,41,11,20171028
777,6,12,17,21,34,37,18,20171021
776,8,9,18,21,28,40,20,20171014
775,11,12,29,33,38,42,17,20171007
774,12,15,18,28,34,42,9,20170930
773,8,12,19,21,31,35,44,20170923
772,5,6,11,14,21,41,32,20170916
771,6,10,17,18,21,29,30,20170909
770,1,9,12,23,39,43,34,20170902
769,5,7,11,16,41,45,4,20170826
768,7,27,29,30,38,44,4,20170819
767,5,15,20,31,34,42,22,20170812
766,9,30,34,35,39,41,21,20170805
765,1,3,8,12,42,43,33,20170729
764,7,22,24,31,34,36,15,20170722
763,3,8,16,32,34,43,10,20170715
762,1,3,12,21,26,41,16,20170708
761,4,7,11,24,42,45,30,20170701
760,10,22,27,31,42,43,12,20170624
759,9,33,36,40,42,43,32,20170617
758,5,9,12,30,39,43,24,20170610
757,6,7,11,17,33,44,1,20170603
756,10,14,16,18,27,28,4,20170527
755,13,14,26,28,30,36,37,20170520
754,2,8,17,24,29,31,32,20170513
753,2,17,19,24,37,41,3,20170506
752,4,16,20,33,40,43,7,20170429
751,3,4,16,20,28,44,17,20170422
750,1,2,15,19,24,36,12,20170415
749,12,14,24,26,34,45,41,20170408
748,3,10,13,22,31,32,29,20170401
747,7,9,12,14,23,28,17,20170325
746,3,12,33,36,42,45,25,20170318
745,1,2,3,9,12,23,10,20170311
744,10,15,18,21,34,41,43,20170304
743,15,19,21,34,41,44,10,20170225
742,8,10,13,36,37,40,6,20170218
741,5,21,27,34,44,45,16,20170211
740,4,8,9,16,17,19,31,20170204
739,7,22,29,33,34,35,30,20170128
738,23,27,28,38,42,43,36,20170121
737,13,15,18,24,27,41,11,20170114
736,2,11,17,18,21,27,6,20170107
735,5,10,13,27,37,41,4,20161231
734,6,16,37,38,41,45,18,20161224
733,11,24,32,33,35,40,13,20161217
732,2,4,5,17,27,32,43,20161210
731,2,7,13,25,42,45,39,20161203
730,4,10,14,15,18,22,39,20161126
729,11,17,21,26,36,45,16,20161119
728,3,6,10,30,34,37,36,20161112
727,7,8,10,19,21,31,20,20161105
726,1,11,21,23,34,44,24,20161029
725,6,7,19,21,41,43,38,20161022
724,2,8,33,35,37,41,14,20161015
723,20,30,33,35,36,44,22,20161008
722,12,14,21,30,39,43,45,20161001
721,1,28,35,41,43,44,31,20160924
720,1,12,29,34,36,37,41,20160917
719,4,8,13,19,20,43,26,20160910
718,4,11,20,23,32,39,40,20160903
717,2,11,19,25,28,32,44,20160827
716,2,6,13,16,29,30,21,20160820
715,2,7,27,33,41,44,10,20160813
714,1,7,22,33,37,40,20,20160806
713,2,5,15,18,19,23,44,20160730
712,17,20,30,31,33,45,19,20160723
711,11,15,24,35,37,45,42,20160716
710,3,4,9,24,25,33,10,20160709
709,10,18,30,36,39,44,32,20160702
708,2,10,16,19,34,45,1,20160625
707,2,12,19,24,39,44,35,20160618
706,3,4,6,10,28,30,37,20160611
705,1,6,17,22,28,45,23,20160604
704,1,4,8,23,33,42,45,20160528
703,10,28,31,33,41,44,21,20160521
702,3,13,16,24,26,29,9,20160514
701,3,10,14,16,36,38,35,20160507
700,11,23,28,29,30,44,13,20160430
699,4,5,8,16,21,29,3,20160423
698,3,11,13,21,33,37,18,20160416
697,2,5,8,11,33,39,31,20160409
696,1,7,16,18,34,38,21,20160402
695,4,18,26,33,34,38,14,20160326
694,7,15,20,25,33,43,12,20160319
693,1,6,11,28,34,42,30,20160312
692,3,11,14,15,32,36,44,20160305
691,15,27,33,35,43,45,16,20160227
690,24,25,33,34,38,39,43,20160220
689,7,17,19,30,36,38,34,20160213
688,5,15,22,23,34,35,2,20160206
687,1,8,10,13,28,42,45,20160130
686,7,12,15,24,25,43,13,20160123
685,6,7,12,28,38,40,18,20160116
684,1,11,15,17,25,39,40,20160109
683,6,13,20,27,28,40,15,20160102
682,17,23,27,35,38,43,2,20151226
681,21,24,27,29,43,44,7,20151219
680,4,10,19,29,32,42,30,20151212
679,3,5,7,14,26,34,35,20151205
678,4,5,6,12,25,37,45,20151128
677,12,15,24,36,41,44,42,20151121
676,1,8,17,34,39,45,27,20151114
675,1,8,11,15,18,45,7,20151107
674,9,10,14,25,27,31,11,20151031
673,7,10,17,29,33,44,5,20151024
672,8,21,28,31,36,45,43,20151017
671,7,9,10,13,31,35,24,20151010
670,11,18,26,27,40,41,25,20151003
669,7,8,20,29,33,38,9,20150926
668,12,14,15,24,27,32,3,20150919
667,15,17,25,37,42,43,13,20150912
666,2,4,6,11,17,28,16,20150905
665,5,6,11,17,38,44,13,20150829
664,10,20,33,36,41,44,5,20150822
663,3,5,8,19,38,42,20,20150815
662,5,6,9,11,15,37,26,20150808
661,2,3,12,20,27,38,40,20150801
660,4,9,23,33,39,44,14,20150725
659,7,18,19,27,29,42,45,20150718
658,8,19,25,28,32,36,37,20150711
657,10,14,19,39,40,43,23,20150704
656,3,7,14,16,31,40,39,20150627
655,7,37,38,39,40,44,18,20150620
654,16,21,26,31,36,43,6,20150613
653,5,6,26,27,38,39,1,20150606
652,3,13,15,40,41,44,20,20150530
651,11,12,16,26,29,44,18,20150523
650,3,4,7,11,31,41,35,20150516
649,3,21,22,33,41,42,20,20150509
648,13,19,28,37,38,43,4,20150502
647,5,16,21,23,24,30,29,20150425
646,2,9,24,41,43,45,30,20150418
645,1,4,16,26,40,41,31,20150411
644,5,13,17,23,28,36,8,20150404
643,15,24,31,32,33,40,13,20150328
642,8,17,18,24,39,45,32,20150321
641,11,18,21,36,37,43,12,20150314
640,14,15,18,21,26,35,23,20150307
639,6,15,22,23,25,32,40,20150228
638,7,18,22,24,31,34,6,20150221
637,3,16,22,37,38,44,23,20150214
636,6,7,15,16,20,31,26,20150207
635,11,13,25,26,29,33,32,20150131
634,4,10,11,12,20,27,38,20150124
633,9,12,19,20,39,41,13,20150117
632,15,18,21,32,35,44,6,20150110
631,1,2,4,23,31,34,8,20150103
630,8,17,21,24,27,31,15,20141227
629,19,28,31,38,43,44,1,20141220
628,1,7,12,15,23,42,11,20141213
627,2,9,22,25,31,45,12,20141206
626,13,14,26,33,40,43,15,20141129
625,3,6,7,20,21,39,13,20141122
624,1,7,19,26,27,35,16,20141115
623,7,13,30,39,41,45,25,20141108
622,9,15,16,21,28,34,24,20141101
621,1,2,6,16,19,42,9,20141025
620,2,16,17,32,39,45,40,20141018
619,6,8,13,30,35,40,21,20141011
618,8,16,25,30,42,43,15,20141004
617,4,5,11,12,24,27,28,20140927
616,5,13,18,23,40,45,3,20140920
615,10,17,18,19,23,27,35,20140913
614,8,21,25,39,40,44,18,20140906
613,7,8,11,16,41,44,35,20140830
612,6,9,18,19,25,33,40,20140823
611,2,22,27,33,36,37,14,20140816
610,14,18,20,23,28,36,33,20140809
609,4,8,27,34,39,40,13,20140802
608,4,8,18,19,39,44,41,20140726
607,8,14,23,36,38,39,13,20140719
606,1,5,6,14,20,39,22,20140712
605,1,2,7,9,10,38,42,20140705
604,2,6,18,21,33,34,30,20140628
603,2,19,25,26,27,43,28,20140621
602,13,14,22,27,30,38,2,20140614
601,2,16,19,31,34,35,37,20140607
600,5,11,14,27,29,36,44,20140531
599,5,12,17,29,34,35,27,20140524
598,4,12,24,33,38,45,22,20140517
597,8,10,23,24,35,43,37,20140510
596,3,4,12,14,25,43,17,20140503
595,8,24,28,35,38,40,5,20140426
594,2,8,13,25,28,37,3,20140419
593,9,10,13,24,33,38,28,20140412
592,2,5,6,13,28,44,43,20140405
591,8,13,14,30,38,39,5,20140329
590,20,30,36,38,41,45,23,20140322
589,6,8,28,33,38,39,22,20140315
588,2,8,15,22,25,41,30,20140308
587,14,21,29,31,32,37,17,20140301
586,2,7,12,15,21,34,5,20140222
585,6,7,10,16,38,41,4,20140215
584,7,18,30,39,40,41,36,20140208
583,8,17,27,33,40,44,24,20140201
582,2,12,14,33,40,41,25,20140125
581,3,5,14,20,42,44,33,20140118
580,5,7,9,11,32,35,33,20140111
579,5,7,20,22,37,42,39,20140104
578,5,12,14,32,34,42,16,20131228
577,16,17,22,31,34,37,33,20131221
576,10,11,15,25,35,41,13,20131214
575,2,8,20,30,33,34,6,20131207
574,14,15,16,19,25,43,2,20131130
573,2,4,20,34,35,43,14,20131123
572,3,13,18,33,37,45,1,20131116
571,11,18,21,26,38,43,29,20131109
570,1,12,26,27,29,33,42,20131102
569,3,6,13,23,24,35,1,20131026
568,1,3,17,20,31,44,40,20131019
567,1,10,15,16,32,41,28,20131012
566,4,5,6,25,26,43,41,20131005
565,4,10,18,27,40,45,38,20130928
564,14,19,25,26,27,34,2,20130921
563,5,10,16,17,31,32,21,20130914
562,4,11,13,17,20,31,33,20130907
561,5,7,18,37,42,45,20,20130831
560,1,4,20,23,29,45,28,20130824
559,11,12,25,32,44,45,23,20130817
558,12,15,19,26,40,43,29,20130810
557,4,20,26,28,35,40,31,20130803
556,12,20,23,28,30,44,43,20130727
555,11,17,21,24,26,36,12,20130720
554,13,14,17,32,41,42,6,20130713
553,2,7,17,28,29,39,37,20130706
552,1,10,20,32,35,40,43,20130629
551,3,6,20,24,27,44,25,20130622
550,1,7,14,20,34,37,41,20130615
549,29,31,35,38,40,44,17,20130608
548,1,12,13,21,32,45,14,20130601
547,6,7,15,22,34,39,28,20130525
546,8,17,20,27,37,43,6,20130518
545,4,24,25,27,34,35,2,20130511
544,5,17,21,25,36,44,10,20130504
543,13,18,26,31,34,44,12,20130427
542,5,6,19,26,41,45,34,20130420
541,8,13,26,28,32,34,43,20130413
540,3,12,13,15,34,36,14,20130406
539,3,19,22,31,42,43,26,20130330
538,6,10,18,31,32,34,11,20130323
537,12,23,26,30,36,43,11,20130316
536,7,8,18,32,37,43,12,20130309
535,11,12,14,15,18,39,34,20130302
534,10,24,26,29,37,38,32,20130223
533,9,14,15,17,31,33,23,20130216
532,16,17,23,24,29,44,3,20130209
531,1,5,9,21,27,35,45,20130202
530,16,23,27,29,33,41,22,20130126
529,18,20,24,27,31,42,39,20130119
528,5,17,25,31,39,40,10,20130112
527,1,12,22,32,33,42,38,20130105
526,7,14,17,20,35,39,31,20121229
525,11,23,26,29,39,44,22,20121222
524,10,11,29,38,41,45,21,20121215
523,1,4,37,38,40,45,7,20121208
522,4,5,13,14,37,41,11,20121201
521,3,7,18,29,32,36,19,20121124
520,4,22,27,28,38,40,1,20121117
519,6,8,13,16,30,43,3,20121110
518,14,23,30,32,34,38,6,20121103
517,1,9,12,28,36,41,10,20121027
516,2,8,23,41,43,44,30,20121020
515,2,11,12,15,23,37,8,20121013
514,1,15,20,26,35,42,9,20121006
513,5,8,21,23,27,33,12,20120929
512,4,5,9,13,26,27,1,20120922
511,3,7,14,23,26,42,24,20120915
510,12,29,32,33,39,40,42,20120908
509,12,25,29,35,42,43,24,20120901
508,5,27,31,34,35,43,37,20120825
507,12,13,32,33,40,41,4,20120818
506,6,9,11,22,24,30,31,20120811
505,7,20,22,25,38,40,44,20120804
504,6,14,22,26,43,44,31,20120728
503,1,5,27,30,34,36,40,20120721
502,6,22,28,32,34,40,26,20120714
501,1,4,10,17,31,42,2,20120707
500,3,4,12,20,24,34,41,20120630
499,5,20,23,27,35,40,43,20120623
498,13,14,24,32,39,41,3,20120616
497,19,20,23,24,43,44,13,20120609
496,4,13,20,29,36,41,39,20120602
495,4,13,22,27,34,44,6,20120526
494,5,7,8,15,30,43,22,20120519
493,20,22,26,33,36,37,25,20120512
492,22,27,31,35,37,40,42,20120505
491,8,17,35,36,39,42,4,20120428
490,2,7,26,29,40,43,42,20120421
489,2,4,8,15,20,27,11,20120414
488,2,8,17,30,31,38,25,20120407
487,4,8,25,27,37,41,21,20120331
486,1,2,23,25,38,40,43,20120324
485,17,22,26,27,36,39,20,20120317
484,1,3,27,28,32,45,11,20120310
483,12,15,19,22,28,34,5,20120303
482,1,10,16,24,25,35,43,20120225
481,3,4,23,29,40,41,20,20120218
480,3,5,10,17,30,31,16,20120211
479,8,23,25,27,35,44,24,20120204
478,18,29,30,37,39,43,8,20120128
477,14,25,29,32,33,45,37,20120121
476,9,12,13,15,37,38,27,20120114
475,1,9,14,16,21,29,3,20120107
474,4,13,18,31,33,45,43,20111231
473,8,13,20,22,23,36,34,20111224
472,16,25,26,31,36,43,44,20111217
471,6,13,29,37,39,41,43,20111210
470,10,16,20,39,41,42,27,20111203
469,4,21,22,34,37,38,33,20111126
468,8,13,15,28,37,43,17,20111119
467,2,12,14,17,24,40,39,20111112
466,4,10,13,23,32,44,20,20111105
465,1,8,11,13,22,38,31,20111029
464,6,12,15,34,42,44,4,20111022
463,23,29,31,33,34,44,40,20111015
462,3,20,24,32,37,45,4,20111008
461,11,18,26,31,37,40,43,20111001
460,8,11,28,30,43,45,41,20110924
459,4,6,10,14,25,40,12,20110917
458,4,9,10,32,36,40,18,20110910
457,8,10,18,23,27,40,33,20110903
456,1,7,12,18,23,27,44,20110827
455,4,19,20,26,30,35,24,20110820
454,13,25,27,34,38,41,10,20110813
453,12,24,33,38,40,42,30,20110806
452,8,10,18,30,32,34,27,20110730
451,12,15,20,24,30,38,29,20110723
450,6,14,19,21,23,31,13,20110716
449,3,10,20,26,35,43,36,20110709
448,3,7,13,27,40,41,36,20110702
447,2,7,8,9,17,33,34,20110625
446,1,11,12,14,26,35,6,20110618
445,13,20,21,30,39,45,32,20110611
444,11,13,23,35,43,45,17,20110604
443,4,6,10,19,20,44,14,20110528
442,25,27,29,36,38,40,41,20110521
441,1,23,28,30,34,35,9,20110514
440,10,22,28,34,36,44,2,20110507
